id,name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,release_date,anio,mes_num,nombre_mes,dia
5402,Carnival,2600,1981,shooter,coleco,0.32,0.02,0.0,0.0,0.34,1981-03-31 00:00:00,1981,3,march,31
5403,Football Manager Handheld 2008,psp,2007,sports,sega,0.0,0.34,0.0,0.0,0.34,2007-05-26 00:00:00,2007,5,may,26
5404,Leisure Suit Larry: Magna Cum Laude,ps2,2004,adventure,vivendi games,0.17,0.13,0.0,0.04,0.34,2004-01-02 00:00:00,2004,1,january,2
5405,Harry Potter and the Deathly Hallows - Part 2,ps3,2011,action,electronic arts,0.14,0.15,0.0,0.05,0.34,2011-10-26 00:00:00,2011,10,october,26
5406,MVP 06 NCAA Baseball,xb,2006,sports,electronic arts,0.25,0.07,0.0,0.01,0.34,2006-11-15 00:00:00,2006,11,november,15
5407,Momotarou Dentetsu DS: Tokyo & Japan,ds,2007,misc,hudson soft,0.0,0.0,0.34,0.0,0.34,2007-08-14 00:00:00,2007,8,august,14
5408,Point Blank,ps,1997,shooter,sony computer entertainment,0.05,0.03,0.23,0.02,0.34,1997-11-28 00:00:00,1997,11,november,28
5409,Bookworm,ds,2009,puzzle,popcap games,0.31,0.01,0.0,0.02,0.34,2009-10-19 00:00:00,2009,10,october,19
5410,Smart Girl's Party Game,ds,2008,misc,505 games,0.31,0.0,0.0,0.02,0.34,2008-07-08 00:00:00,2008,7,july,8
5411,Rayman Legends,xone,2014,platform,ubisoft,0.13,0.18,0.0,0.03,0.34,2014-11-14 00:00:00,2014,11,november,14
5412,Puzzle Quest: Challenge of the Warlords,ds,2007,puzzle,d3publisher,0.28,0.01,0.03,0.02,0.34,2007-01-13 00:00:00,2007,1,january,13
5413,Star Ocean: Second Evolution,psp,2008,role-playing,square enix,0.14,0.02,0.16,0.02,0.34,2008-05-22 00:00:00,2008,5,may,22
5414,My Baby Boy,ds,2008,simulation,nobilis,0.3,0.02,0.0,0.03,0.34,2008-09-12 00:00:00,2008,9,september,12
5415,Tiny Tank,ps,1998,action,sony computer entertainment,0.19,0.13,0.0,0.02,0.34,1998-05-30 00:00:00,1998,5,may,30
5416,Jonah Lomu Rugby Challenge,x360,2011,sports,home entertainment suppliers,0.09,0.21,0.0,0.04,0.34,2011-05-03 00:00:00,2011,5,may,3
5417,Spy Hunter,xb,2002,racing,midway games,0.25,0.07,0.0,0.01,0.34,2002-10-01 00:00:00,2002,10,october,1
5418,Angry Birds Star Wars,3ds,2013,strategy,activision,0.15,0.15,0.0,0.03,0.34,2013-10-08 00:00:00,2013,10,october,8
5419,Imagine: Movie Star,ds,2008,simulation,ubisoft,0.31,0.0,0.0,0.02,0.34,2008-11-12 00:00:00,2008,11,november,12
5420,NHL 09,ps3,2008,sports,electronic arts,0.29,0.02,0.0,0.03,0.34,2008-05-15 00:00:00,2008,5,may,15
5421,Zoo Tycoon (2013),xone,2013,simulation,microsoft game studios,0.18,0.13,0.0,0.03,0.34,2013-05-09 00:00:00,2013,5,may,9
5422,Herbie: Fully Loaded,gba,2005,racing,disney interactive studios,0.24,0.09,0.0,0.01,0.34,2005-01-09 00:00:00,2005,1,january,9
5423,The Sims 3: Town Life Stuff,pc,2011,simulation,electronic arts,0.11,0.17,0.0,0.05,0.34,2011-03-31 00:00:00,2011,3,march,31
5424,Teenage Mutant Ninja Turtles,gc,2003,action,konami digital entertainment,0.26,0.07,0.0,0.01,0.34,2003-04-16 00:00:00,2003,4,april,16
5425,Pony Friends 2,ds,2009,simulation,eidos interactive,0.21,0.1,0.0,0.03,0.34,2009-11-27 00:00:00,2009,11,november,27
5426,Disney Sing It: Pop Hits,ps2,2009,misc,disney interactive studios,0.1,0.02,0.0,0.22,0.34,2009-09-16 00:00:00,2009,9,september,16
5427,Buzz! The Ultimate Music Quiz,ps3,2010,misc,sony computer entertainment,0.0,0.25,0.0,0.08,0.34,2010-03-20 00:00:00,2010,3,march,20
5428,Persona 5,ps4,2016,role-playing,atlus,0.0,0.0,0.34,0.0,0.34,2016-05-05 00:00:00,2016,5,may,5
5429,The Eye of Judgment,ps3,2007,misc,sony computer entertainment,0.28,0.0,0.02,0.03,0.34,2007-08-22 00:00:00,2007,8,august,22
5430,Pirates of the Caribbean: At World's End,x360,2007,action,disney interactive studios,0.29,0.02,0.0,0.03,0.34,2007-07-03 00:00:00,2007,7,july,3
5431,Modnation Racers: Road Trip,psv,2012,racing,sony computer entertainment,0.17,0.12,0.0,0.05,0.34,2012-05-03 00:00:00,2012,5,may,3
5432,Dynasty Warriors: Gundam 2,ps2,2008,action,namco bandai games,0.04,0.03,0.25,0.01,0.34,2008-02-15 00:00:00,2008,2,february,15
5433,Power Rangers Samurai,ds,2011,action,namco bandai games,0.27,0.04,0.0,0.02,0.34,2011-10-25 00:00:00,2011,10,october,25
5434,Fade to Black,ps,1996,action,electronic arts,0.19,0.13,0.0,0.02,0.34,1996-09-30 00:00:00,1996,9,september,30
5435,MXRider,ps2,2001,racing,atari,0.16,0.13,0.0,0.04,0.34,2001-10-21 00:00:00,2001,10,october,21
5436,Avatar: The Last Airbender,ds,2006,adventure,thq,0.3,0.01,0.0,0.03,0.34,2006-09-14 00:00:00,2006,9,september,14
5437,Battlefield: Hardline,x360,2015,shooter,electronic arts,0.17,0.14,0.0,0.03,0.34,2015-04-08 00:00:00,2015,4,april,8
5438,Delta Force: Black Hawk Down,xb,2005,shooter,novalogic,0.25,0.07,0.0,0.01,0.34,2005-08-15 00:00:00,2005,8,august,15
5439,Night at the Museum: Battle of the Smithsonian,ds,2009,action,majesco entertainment,0.12,0.18,0.0,0.04,0.34,2009-05-22 00:00:00,2009,5,may,22
5440,World Championship Poker 2: Featuring Howard Lederer,ps2,2005,misc,oxygen interactive,0.16,0.13,0.0,0.04,0.34,2005-01-24 00:00:00,2005,1,january,24
5441,Sengoku Musou 3 Z,ps3,2011,action,ackkstudios,0.0,0.0,0.33,0.0,0.33,2011-03-14 00:00:00,2011,3,march,14
5442,Operation Flashpoint: Red River,ps3,2011,shooter,codemasters,0.06,0.15,0.07,0.05,0.33,2011-02-01 00:00:00,2011,2,february,1
5443,Ninja Blade,x360,2009,action,microsoft game studios,0.14,0.14,0.02,0.03,0.33,2009-07-16 00:00:00,2009,7,july,16
5444,Tom Clancy's Ghost Recon Advanced Warfighter,xb,2006,shooter,ubisoft,0.21,0.11,0.0,0.01,0.33,2006-12-10 00:00:00,2006,12,december,10
5445,Transformers: Revenge of the Fallen (DS Versions),ds,2009,action,activision,0.17,0.13,0.0,0.03,0.33,2009-08-20 00:00:00,2009,8,august,20
5446,Fracture,x360,2008,shooter,lucasarts,0.15,0.14,0.0,0.04,0.33,2008-12-07 00:00:00,2008,12,december,7
5447,Tokyo Highway Battle,ps,1996,racing,jaleco,0.06,0.04,0.21,0.02,0.33,1996-09-09 00:00:00,1996,9,september,9
5448,Pandora's Tower,wii,2011,role-playing,nintendo,0.13,0.1,0.08,0.03,0.33,2011-09-14 00:00:00,2011,9,september,14
5449,Binary Domain,ps3,2012,action,sega,0.09,0.08,0.14,0.03,0.33,2012-12-04 00:00:00,2012,12,december,4
5450,The King of Fighters XIII,x360,2011,fighting,rising star games,0.23,0.07,0.01,0.03,0.33,2011-11-27 00:00:00,2011,11,november,27
5451,Beyond Good & Evil,ps2,2003,adventure,ubisoft,0.16,0.13,0.0,0.04,0.33,2003-08-08 00:00:00,2003,8,august,8
5452,Banjo-Kazooie: Grunty's Revenge,gba,2003,platform,thq,0.24,0.09,0.0,0.01,0.33,2003-02-16 00:00:00,2003,2,february,16
5453,Bomberman World,ps,1998,puzzle,sony computer entertainment,0.06,0.04,0.22,0.02,0.33,1998-08-07 00:00:00,1998,8,august,7
5454,The X-Factor,wii,2010,misc,deep silver,0.0,0.29,0.0,0.04,0.33,2010-02-27 00:00:00,2010,2,february,27
5455,Digimon World: Dawn / Dusk,ds,2007,role-playing,namco bandai games,0.14,0.0,0.18,0.01,0.33,2007-10-03 00:00:00,2007,10,october,3
5456,Street Fighter Alpha 3 MAX,psp,2006,fighting,capcom,0.27,0.01,0.02,0.03,0.33,2006-11-04 00:00:00,2006,11,november,4
5457,Untold Legends: The Warriors Code,psp,2006,role-playing,ubisoft,0.14,0.12,0.0,0.08,0.33,2006-08-01 00:00:00,2006,8,august,1
5458,Virtua Tennis 2009,x360,2009,sports,sega,0.12,0.18,0.0,0.03,0.33,2009-10-04 00:00:00,2009,10,october,4
5459,Deathtrap Dungeon,ps,1998,action,eidos interactive,0.19,0.13,0.0,0.02,0.33,1998-02-01 00:00:00,1998,2,february,1
5460,Tales of the World: Radiant Mythology 2,psp,2009,role-playing,namco bandai games,0.0,0.0,0.33,0.0,0.33,2009-12-07 00:00:00,2009,12,december,7
5461,Wipeout 2,wii,2011,misc,activision,0.31,0.0,0.0,0.02,0.33,2011-11-11 00:00:00,2011,11,november,11
5462,Iron Man 2,wii,2010,action,sega,0.15,0.15,0.0,0.03,0.33,2010-10-04 00:00:00,2010,10,october,4
5463,Ape Escape Academy,psp,2004,misc,sony computer entertainment,0.13,0.15,0.0,0.05,0.33,2004-10-08 00:00:00,2004,10,october,8
5464,The Darkness II,ps3,2012,shooter,take-two interactive,0.14,0.14,0.0,0.05,0.33,2012-07-12 00:00:00,2012,7,july,12
5465,SingStar Take That,ps3,2009,misc,sony computer entertainment,0.0,0.3,0.0,0.03,0.33,2009-05-01 00:00:00,2009,5,may,1
5466,Marvel: Ultimate Alliance 2,wii,2009,role-playing,activision,0.26,0.05,0.0,0.03,0.33,2009-09-27 00:00:00,2009,9,september,27
5467,Ultimate Marvel vs. Capcom 3,psv,2011,fighting,capcom,0.2,0.09,0.0,0.05,0.33,2011-02-03 00:00:00,2011,2,february,3
5468,WWE Wrestlemania XIX,gc,2003,fighting,thq,0.26,0.07,0.0,0.01,0.33,2003-03-22 00:00:00,2003,3,march,22
5469,Planet Puzzle League,ds,2007,puzzle,nintendo,0.14,0.01,0.16,0.01,0.33,2007-03-23 00:00:00,2007,3,march,23
5470,The Sims 2,gc,2005,simulation,electronic arts,0.26,0.07,0.0,0.01,0.33,2005-02-10 00:00:00,2005,2,february,10
5471,Hulk,xb,2003,action,universal interactive,0.25,0.07,0.0,0.01,0.33,2003-02-26 00:00:00,2003,2,february,26
5472,Naruto: Rise of a Ninja,x360,2007,action,ubisoft,0.29,0.02,0.0,0.03,0.33,2007-05-18 00:00:00,2007,5,may,18
5473,Chicken Blaster,wii,2009,shooter,zushi games,0.31,0.0,0.0,0.02,0.33,2009-09-15 00:00:00,2009,9,september,15
5474,Family Party: 90 Great Games Party Pack,wii,2010,misc,d3publisher,0.31,0.0,0.0,0.02,0.33,2010-06-16 00:00:00,2010,6,june,16
5475,Klonoa 2: Lunatea's Veil,ps2,2001,platform,sony computer entertainment,0.12,0.1,0.08,0.03,0.33,2001-11-29 00:00:00,2001,11,november,29
5476,Deus Ex: Invisible War,xb,2003,shooter,eidos interactive,0.25,0.07,0.0,0.01,0.33,2003-06-03 00:00:00,2003,6,june,3
5477,Resonance of Fate,x360,2010,role-playing,sega,0.12,0.13,0.06,0.03,0.33,2010-07-09 00:00:00,2010,7,july,9
5478,Hell's Kitchen: The Game,wii,2008,simulation,ubisoft,0.3,0.0,0.0,0.03,0.33,2008-06-24 00:00:00,2008,6,june,24
5479,Disney's Treasure Planet,ps2,2002,action,sony computer entertainment,0.16,0.13,0.0,0.04,0.33,2002-11-25 00:00:00,2002,11,november,25
5480,NASCAR Thunder 2002,xb,2001,racing,electronic arts,0.25,0.07,0.0,0.01,0.33,2001-05-03 00:00:00,2001,5,may,3
5481,Jeanne d'Arc,psp,2006,role-playing,sony computer entertainment,0.21,0.0,0.1,0.02,0.33,2006-10-06 00:00:00,2006,10,october,6
5482,NCAA Basketball 10,ps3,2009,sports,electronic arts,0.31,0.0,0.0,0.03,0.33,2009-04-06 00:00:00,2009,4,april,6
5483,BeatMania Append GottaMix,ps,1999,simulation,konami digital entertainment,0.0,0.0,0.31,0.02,0.33,1999-09-06 00:00:00,1999,9,september,6
5484,Dead or Alive 5,ps4,2015,fighting,tecmo koei,0.09,0.13,0.08,0.04,0.33,2015-09-06 00:00:00,2015,9,september,6
5485,Tak 2: The Staff of Dreams,gc,2004,platform,thq,0.26,0.07,0.0,0.01,0.33,2004-07-31 00:00:00,2004,7,july,31
5486,Rugby World Cup 2011,ps3,2011,sports,505 games,0.0,0.25,0.0,0.08,0.33,2011-07-22 00:00:00,2011,7,july,22
5487,Medal of Honor: Warfighter,pc,2012,action,electronic arts,0.14,0.15,0.0,0.04,0.33,2012-01-13 00:00:00,2012,1,january,13
5488,Kelly Slater's Pro Surfer,ps2,2002,sports,activision,0.16,0.13,0.0,0.04,0.33,2002-12-06 00:00:00,2002,12,december,6
5489,Shrek SuperSlam,gba,2005,action,activision,0.24,0.09,0.0,0.01,0.33,2005-09-26 00:00:00,2005,9,september,26
5490,Sonic Boom: Rise of Lyric,wiiu,2014,action,sega,0.21,0.09,0.0,0.03,0.33,2014-11-25 00:00:00,2014,11,november,25
5491,Legends of Wrestling II,ps2,2002,fighting,acclaim entertainment,0.16,0.13,0.0,0.04,0.33,2002-11-19 00:00:00,2002,11,november,19
5492,World Stadium 3,ps,1999,sports,namco bandai games,0.0,0.0,0.31,0.02,0.33,1999-11-19 00:00:00,1999,11,november,19
5493,Little Deviants,psv,2011,platform,sony computer entertainment,0.15,0.13,0.0,0.05,0.33,2011-08-07 00:00:00,2011,8,august,7
5494,Silent Hill: Downpour,x360,2012,action,konami digital entertainment,0.22,0.08,0.0,0.03,0.33,2012-10-13 00:00:00,2012,10,october,13
5495,Extra Bases,gb,1990,sports,namco bandai games,0.0,0.0,0.33,0.0,0.33,1990-09-09 00:00:00,1990,9,september,9
5496,Super Power League 2,snes,1994,sports,hudson soft,0.0,0.0,0.33,0.0,0.33,1994-07-18 00:00:00,1994,7,july,18
5497,Night at the Museum: Battle of the Smithsonian,wii,2009,action,majesco entertainment,0.17,0.13,0.0,0.03,0.33,2009-07-24 00:00:00,2009,7,july,24
5498,Capcom Classics Collection Reloaded,psp,2006,misc,capcom,0.26,0.0,0.03,0.03,0.33,2006-11-03 00:00:00,2006,11,november,3
5499,Madden NFL 09,ds,2008,sports,electronic arts,0.3,0.0,0.0,0.03,0.33,2008-05-04 00:00:00,2008,5,may,4
5500,MLB 09: The Show,ps2,2009,sports,sony computer entertainment,0.16,0.13,0.0,0.04,0.33,2009-08-24 00:00:00,2009,8,august,24
5501,Deus Ex: Mankind Divided,ps4,2016,role-playing,square enix,0.1,0.18,0.0,0.05,0.33,2016-01-08 00:00:00,2016,1,january,8
5502,Cool Boarders 2001,ps2,2001,sports,sony computer entertainment,0.16,0.13,0.0,0.04,0.33,2001-01-23 00:00:00,2001,1,january,23
5503,Classic NES Series: Castlevania,gba,2004,platform,nintendo,0.17,0.06,0.09,0.01,0.33,2004-01-17 00:00:00,2004,1,january,17
5504,Dragon Ball Z: Battle of Z,ps3,2014,fighting,namco bandai games,0.1,0.11,0.06,0.05,0.33,2014-09-06 00:00:00,2014,9,september,6
5505,Scooby-Doo! First Frights,ps2,2009,action,warner bros. interactive entertainment,0.14,0.03,0.0,0.16,0.33,2009-01-27 00:00:00,2009,1,january,27
5506,Fight Night Round 3,xb,2006,fighting,electronic arts,0.26,0.06,0.0,0.01,0.33,2006-02-25 00:00:00,2006,2,february,25
5507,GT Advance Championship Racing,gba,2001,racing,thq,0.24,0.09,0.0,0.01,0.33,2001-07-18 00:00:00,2001,7,july,18
5508,Way of the Samurai 2,ps2,2003,action,capcom,0.05,0.04,0.23,0.01,0.33,2003-08-02 00:00:00,2003,8,august,2
5509,FIFA Street 3,ps3,2008,sports,electronic arts,0.08,0.18,0.0,0.06,0.33,2008-12-25 00:00:00,2008,12,december,25
5511,BattleTanx,n64,1998,action,3do,0.26,0.06,0.0,0.0,0.33,1998-10-01 00:00:00,1998,10,october,1
5512,Hatsune Miku: Project Diva Extend,psp,2011,misc,sega,0.0,0.0,0.33,0.0,0.33,2011-02-14 00:00:00,2011,2,february,14
5513,Battlestations: Pacific,x360,2009,strategy,eidos interactive,0.17,0.12,0.01,0.03,0.33,2009-03-23 00:00:00,2009,3,march,23
5514,Pitfall 3D: Beyond the Jungle,ps,1998,platform,activision,0.18,0.12,0.0,0.02,0.33,1998-08-07 00:00:00,1998,8,august,7
5515,Disgaea 2: Cursed Memories,ps2,2006,role-playing,tecmo koei,0.09,0.07,0.15,0.02,0.33,2006-01-31 00:00:00,2006,1,january,31
5516,Cabela's Dangerous Hunts 2011,ps3,2010,sports,activision,0.26,0.04,0.0,0.03,0.33,2010-05-14 00:00:00,2010,5,may,14
5517,DECA Sports Freedom,x360,2010,sports,hudson soft,0.27,0.04,0.0,0.02,0.33,2010-03-02 00:00:00,2010,3,march,2
5518,Clock Tower 3,ps2,2002,adventure,capcom,0.1,0.08,0.12,0.03,0.33,2002-09-29 00:00:00,2002,9,september,29
5519,Battle Dodge Ball,snes,1991,sports,banpresto,0.0,0.0,0.33,0.0,0.33,1991-05-28 00:00:00,1991,5,may,28
5520,Goosebumps HorrorLand,ds,2008,adventure,scholastic inc.,0.31,0.0,0.0,0.02,0.33,2008-07-18 00:00:00,2008,7,july,18
5521,Phineas and Ferb: Across the 2nd Dimension,ps3,2011,action,disney interactive studios,0.15,0.12,0.0,0.05,0.33,2011-06-25 00:00:00,2011,6,june,25
5522,Call Of Duty 2: Big Red One,gc,2005,shooter,activision,0.25,0.07,0.0,0.01,0.33,2005-10-27 00:00:00,2005,10,october,27
5523,Elebits,wii,2006,action,konami digital entertainment,0.22,0.01,0.08,0.02,0.33,2006-05-23 00:00:00,2006,5,may,23
5524,"Warhammer 40,000: Squad Command",psp,2007,strategy,thq,0.11,0.14,0.0,0.08,0.33,2007-07-09 00:00:00,2007,7,july,9
5525,F1 2013,x360,2013,racing,codemasters,0.01,0.28,0.0,0.03,0.33,2013-10-16 00:00:00,2013,10,october,16
5526,Disgaea: Hour of Darkness,ps2,2003,role-playing,tecmo koei,0.16,0.13,0.0,0.04,0.33,2003-04-22 00:00:00,2003,4,april,22
5527,NeoGeo Battle Coliseum,ps2,2005,fighting,ignition entertainment,0.16,0.13,0.0,0.04,0.33,2005-11-24 00:00:00,2005,11,november,24
5528,SSX Blur,wii,2007,sports,electronic arts,0.29,0.01,0.0,0.03,0.33,2007-02-15 00:00:00,2007,2,february,15
5529,DiRT 2,psp,2009,racing,sony computer entertainment,0.09,0.16,0.0,0.09,0.33,2009-05-08 00:00:00,2009,5,may,8
5530,Vin Diesel: Wheelman,ps3,2009,racing,ubisoft,0.12,0.15,0.0,0.06,0.33,2009-07-13 00:00:00,2009,7,july,13
5531,SpongeBob SquarePants: Creature from the Krusty Krab,gc,2006,platform,thq,0.25,0.07,0.0,0.01,0.33,2006-04-17 00:00:00,2006,4,april,17
5532,My Baby: First Steps,ds,2009,simulation,southpeak games,0.28,0.03,0.0,0.02,0.33,2009-12-20 00:00:00,2009,12,december,20
5533,MLB 08: The Show,psp,2008,sports,sony computer entertainment,0.3,0.0,0.0,0.02,0.33,2008-07-12 00:00:00,2008,7,july,12
5534,The Black Eyed Peas Experience,x360,2011,misc,ubisoft,0.2,0.1,0.0,0.03,0.33,2011-08-23 00:00:00,2011,8,august,23
5535,Parodius,ps,1994,shooter,konami digital entertainment,0.0,0.0,0.31,0.02,0.33,1994-07-26 00:00:00,1994,7,july,26
5536,Spy Kids 3-D: Game Over,gba,2003,platform,disney interactive studios,0.24,0.09,0.0,0.01,0.33,2003-04-04 00:00:00,2003,4,april,4
5537,Sakura Wars 3: Paris wa Moeteiru ka,dc,2001,adventure,sega,0.0,0.0,0.33,0.0,0.33,2001-11-21 00:00:00,2001,11,november,21
5538,1001 Touch Games,ds,2011,action,avanquest,0.12,0.17,0.0,0.04,0.33,2011-07-02 00:00:00,2011,7,july,2
5539,NCAA GameBreaker 2001,ps,2000,sports,sony computer entertainment,0.18,0.12,0.0,0.02,0.33,2000-06-23 00:00:00,2000,6,june,23
5540,Power Rangers: Ninja Storm,gba,2003,misc,thq,0.24,0.09,0.0,0.01,0.33,2003-04-11 00:00:00,2003,4,april,11
5541,Angry Birds Star Wars,ps3,2013,strategy,activision,0.1,0.17,0.0,0.06,0.33,2013-07-29 00:00:00,2013,7,july,29
5542,Naruto: Gekito Ninja Taisen! 4,gc,2005,fighting,tomy corporation,0.0,0.0,0.32,0.01,0.33,2005-05-13 00:00:00,2005,5,may,13
5543,Kidou Senshi Gundam F91: Formula Senki 0122,snes,1991,strategy,namco bandai games,0.0,0.0,0.33,0.0,0.33,1991-10-14 00:00:00,1991,10,october,14
5544,Despicable Me: The Game,wii,2010,platform,d3publisher,0.19,0.12,0.0,0.03,0.33,2010-07-10 00:00:00,2010,7,july,10
5545,Golden Axe: Beast Rider,x360,2008,action,sega,0.19,0.11,0.0,0.03,0.33,2008-07-03 00:00:00,2008,7,july,3
5546,MySims SkyHeroes,ds,2010,action,electronic arts,0.22,0.08,0.0,0.03,0.33,2010-10-24 00:00:00,2010,10,october,24
5547,MVP Baseball 2005,gc,2005,sports,electronic arts,0.25,0.07,0.0,0.01,0.33,2005-03-24 00:00:00,2005,3,march,24
5548,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,ds,2007,misc,rocket company,0.0,0.0,0.33,0.0,0.33,2007-01-28 00:00:00,2007,1,january,28
5549,"Carnival Games: Monkey See, Monkey Do!",x360,2011,misc,take-two interactive,0.14,0.16,0.0,0.03,0.33,2011-02-11 00:00:00,2011,2,february,11
5550,Eternal Sonata,x360,2007,role-playing,atari,0.19,0.04,0.08,0.02,0.33,2007-06-19 00:00:00,2007,6,june,19
5551,DX Game of Life 2,ps,1997,misc,takara,0.0,0.0,0.31,0.02,0.33,1997-07-03 00:00:00,1997,7,july,3
5552,EA Playground,ds,2007,sports,electronic arts,0.29,0.01,0.0,0.03,0.33,2007-03-31 00:00:00,2007,3,march,31
5553,NBA Live 96,ps,1996,sports,electronic arts,0.16,0.11,0.04,0.02,0.33,1996-12-22 00:00:00,1996,12,december,22
5554,Clash of the Titans,ps3,2010,action,namco bandai games,0.09,0.16,0.01,0.06,0.33,2010-04-23 00:00:00,2010,4,april,23
5555,Folklore,ps3,2007,role-playing,sony computer entertainment,0.2,0.05,0.05,0.03,0.33,2007-07-01 00:00:00,2007,7,july,1
5556,Dragon Ball Z: Extreme Butoden,3ds,2015,fighting,namco bandai games,0.12,0.03,0.16,0.02,0.33,2015-01-10 00:00:00,2015,1,january,10
5557,Samurai Warriors 2: Xtreme Legends (JP sales),ps2,2007,action,tecmo koei,0.0,0.0,0.33,0.0,0.33,2007-12-18 00:00:00,2007,12,december,18
5558,Sniper Elite 3,xone,2014,shooter,505 games,0.19,0.11,0.0,0.03,0.33,2014-08-08 00:00:00,2014,8,august,8
5559,Teen Titans,gc,2006,action,thq,0.25,0.07,0.0,0.01,0.33,2006-11-15 00:00:00,2006,11,november,15
5560,Dead Rising 2: Off the Record,ps3,2011,action,capcom,0.11,0.08,0.1,0.03,0.33,2011-11-27 00:00:00,2011,11,november,27
5561,Frogger II: Threeedeep!,2600,1983,action,parker bros.,0.31,0.02,0.0,0.0,0.33,1983-04-23 00:00:00,1983,4,april,23
5562,Etrian Odyssey III: The Drowned City,ds,2010,role-playing,atlus,0.13,0.0,0.19,0.01,0.33,2010-12-24 00:00:00,2010,12,december,24
5563,LEGO The Lord of the Rings,psv,2012,action,warner bros. interactive entertainment,0.1,0.15,0.0,0.07,0.33,2012-12-01 00:00:00,2012,12,december,1
5564,NBA Live 06,gc,2005,sports,electronic arts,0.25,0.07,0.0,0.01,0.33,2005-03-01 00:00:00,2005,3,march,1
5565,Karaoke Revolution Presents American Idol Encore 2,wii,2008,misc,konami digital entertainment,0.3,0.0,0.0,0.02,0.33,2008-10-09 00:00:00,2008,10,october,9
5566,Fireball,2600,1981,action,starpath corp.,0.3,0.02,0.0,0.0,0.33,1981-03-06 00:00:00,1981,3,march,6
5567,Batman: Arkham Origins,wiiu,2013,action,warner bros. interactive entertainment,0.2,0.09,0.0,0.03,0.33,2013-08-03 00:00:00,2013,8,august,3
5568,Discovery Kids: Puppy Playtime,ds,2009,simulation,505 games,0.3,0.0,0.0,0.02,0.33,2009-08-08 00:00:00,2009,8,august,8
5569,Dr. Mario / Puzzle League,gba,2005,puzzle,nintendo,0.12,0.04,0.16,0.01,0.33,2005-12-10 00:00:00,2005,12,december,10
5570,Bleach: Shattered Blade,wii,2006,fighting,sega,0.22,0.01,0.08,0.02,0.33,2006-11-28 00:00:00,2006,11,november,28
5571,Shin Nippon Pro Wrestling: Toukon Retsuden,ps,1995,fighting,tomy corporation,0.0,0.0,0.3,0.02,0.33,1995-07-10 00:00:00,1995,7,july,10
5572,Major League Baseball 2K6,xb,2006,sports,take-two interactive,0.24,0.07,0.0,0.01,0.33,2006-09-26 00:00:00,2006,9,september,26
5573,Pinball Hall of Fame: The Gottlieb Collection,ps2,2004,misc,play it,0.16,0.12,0.0,0.04,0.33,2004-01-29 00:00:00,2004,1,january,29
5574,God of War Collection,psv,2014,action,sony computer entertainment,0.14,0.1,0.01,0.07,0.33,2014-09-21 00:00:00,2014,9,september,21
5575,Dead Space 2,pc,2011,shooter,electronic arts,0.13,0.15,0.0,0.05,0.33,2011-06-17 00:00:00,2011,6,june,17
5576,Def Jam Rapstar,ps3,2010,misc,konami digital entertainment,0.25,0.05,0.0,0.03,0.33,2010-12-20 00:00:00,2010,12,december,20
5577,Overlord II,x360,2009,action,codemasters,0.15,0.14,0.0,0.03,0.32,2009-05-26 00:00:00,2009,5,may,26
5578,NBA 2K10,psp,2009,sports,take-two interactive,0.3,0.0,0.0,0.03,0.32,2009-03-23 00:00:00,2009,3,march,23
5579,J Stars Victory Vs.,ps3,2014,fighting,namco bandai games,0.04,0.06,0.2,0.02,0.32,2014-12-13 00:00:00,2014,12,december,13
5580,The Witcher: Enhanced Edition,pc,2008,role-playing,atari,0.32,0.01,0.0,0.0,0.32,2008-01-27 00:00:00,2008,1,january,27
5581,Teenage Mutant Ninja Turtles 2: Battle Nexus,gba,2004,action,konami digital entertainment,0.23,0.09,0.0,0.01,0.32,2004-02-06 00:00:00,2004,2,february,6
5582,Nicktoons: Movin',ps2,2004,action,thq,0.16,0.12,0.0,0.04,0.32,2004-10-21 00:00:00,2004,10,october,21
5583,One Piece: Romance Dawn - Bouken no Yoake,psp,2012,fighting,namco bandai games,0.0,0.0,0.32,0.0,0.32,2012-11-26 00:00:00,2012,11,november,26
5584,Batman: Arkham Origins,pc,2013,action,warner bros. interactive entertainment,0.13,0.16,0.0,0.04,0.32,2013-10-17 00:00:00,2013,10,october,17
5585,SWAT: Global Strike Team,ps2,2003,shooter,vivendi games,0.16,0.12,0.0,0.04,0.32,2003-02-05 00:00:00,2003,2,february,5
5586,Championship Bass,ps,1999,sports,electronic arts,0.18,0.12,0.0,0.02,0.32,1999-12-24 00:00:00,1999,12,december,24
5587,Resident Evil: Revelations 2,ps3,2015,action,capcom,0.06,0.08,0.16,0.03,0.32,2015-07-22 00:00:00,2015,7,july,22
5588,Test Drive Unlimited,x360,2006,racing,atari,0.23,0.04,0.02,0.03,0.32,2006-09-01 00:00:00,2006,9,september,1
5589,Golden Axe: Beast Rider,ps3,2008,action,sega,0.13,0.14,0.0,0.06,0.32,2008-01-26 00:00:00,2008,1,january,26
5590,Madden NFL 13,psv,2012,sports,electronic arts,0.3,0.0,0.0,0.03,0.32,2012-08-31 00:00:00,2012,8,august,31
5591,Bratz: Girlz Really Rock,ds,2008,action,thq,0.18,0.11,0.0,0.03,0.32,2008-12-06 00:00:00,2008,12,december,6
